texto,categoria
Necesito que me lleves a la posición de la palmera.,navegacion
Descríbeme la escena.,descripcion_escena
"Por favor, lista lo que tengo cerca de mí ahora.",objetos_cercanos
Hazme un retrato de la escena.,descripcion_escena
Cuéntame algún hecho curioso e interesante sobre la historia de la humanidad que no mucha gente conozca.,fuera_dominio
Quiero saber cómo es esto.,descripcion_escena
"Me podrías ubicar la puerta, no consigo saber dónde está.",localizacion_objeto
Me ayudaría que me describas la escena entera antes de moverme.,descripcion_escena
Detalla eso de la derecha.,detalle_objeto
"Antes de nada, dame una descripción general del entorno.",descripcion_escena
"Para hacerme una idea, ¿cómo es el entorno en su conjunto?",descripcion_escena
Dime cómo moverme para alcanzar ese item.,navegacion
¿Cómo es la botella?,detalle_objeto
¿Sabes dónde puedo encontrar el libro ahora mismo?,localizacion_objeto
Háblame del aspecto físico del reloj en concreto.,detalle_objeto
Hazme una descripción tranquila y completa de la escena.,descripcion_escena
Recuérdame qué tengo que hacer esta tarde.,fuera_dominio
"Dime la posición de lo que hay enfrente, necesito orientarme.",localizacion_objeto
¿Qué tengo que hacer?,fuera_dominio
¿Podrías describirme el cuadro como si yo no pudiera verlo?,detalle_objeto
Localiza la alfombra.,localizacion_objeto
"Cuéntame qué tengo cerca, sin entrar en detalle de cada cosa.",objetos_cercanos
¿En qué lado de la escena se encuentra ese elemento?,localizacion_objeto
"Quiero localizar la espada, ¿en qué dirección está?",localizacion_objeto
"Quería pedirte que me explicaras, con cierto detalle, cómo funciona el sistema inmunitario humano.",fuera_dominio
Cómo voy a la estantería.,navegacion
¿En qué parte del entorno está la puerta?,localizacion_objeto
¿Qué tengo en mi proximidad sin tener que andar?,objetos_cercanos
¿Qué tengo a mano?,objetos_cercanos
Búscame en Google.,fuera_dominio
"Quiero desplazarme hasta la botella, ¿me ayudas?",navegacion
"Por favor, qué tengo cerca, una lista corta es suficiente.",objetos_cercanos
¿En qué parte del entorno está esa cosa?,localizacion_objeto
Dime dónde está el cofre.,localizacion_objeto
"Es importante para mí saber dónde está eso de la izquierda, ¿podrías localizármelo y describirme su posición con detalle?",localizacion_objeto
Dirígeme a la silla.,navegacion
¿Puedes localizar ese objeto?,localizacion_objeto
"Como no veo bien, agradecería que me hicieras una descripción amplia del entorno antes de empezar a hacer cosas.",descripcion_escena
Recítame algún soneto famoso de Quevedo.,fuera_dominio
"Necesito que me describas la escena completa, sin entrar en detalles.",descripcion_escena
Dame una idea aproximada de cómo es el sitio en el que estoy.,descripcion_escena
"Si no es molestia, ¿me cuentas qué tipo de cosas puedo pedirte y cuáles no podrías ayudarme?",fuera_dominio
¿Qué tengo a poca distancia ahora mismo?,objetos_cercanos
Dirígeme a lo que hay enfrente.,navegacion
"Quería pedirte que me guiaras hasta el barril, no me ubico bien y necesito ayuda.",navegacion
Háblame del entorno como si yo fuese un visitante nuevo.,descripcion_escena
¿Cómo funciona?,fuera_dominio
Necesitaría que me dieras una lista rápida y concisa de lo que tengo a mi alrededor.,objetos_cercanos
¿Cómo puedo llegar al espejo desde donde estoy?,navegacion
Ir a la silla.,navegacion
"Necesito saber la ubicación de la botella, ¿puedes decírmela?",localizacion_objeto
"Sin entrar en detalles del objeto, lo único que quiero saber es dónde está la puerta.",localizacion_objeto
"A ver, llevo dando vueltas un buen rato y no sé qué hacer, ¿me das alguna pista sobre cómo avanzar?",fuera_dominio
"No sé cómo continuar, ¿me orientas?",fuera_dominio
Dime las cosas que tengo accesibles desde aquí sin moverme.,objetos_cercanos
"Eh, escucha, necesito que me lleves hasta ese elemento, paso a paso si hace falta, no consigo ubicarme.",navegacion
"A ver, llevo dándole vueltas un rato y no me oriento, ¿dónde está exactamente la alfombra?",localizacion_objeto
Cuéntame todo lo relevante de este entorno.,descripcion_escena
¿Puedo deshacer mi última acción?,fuera_dominio
"Por favor, lista los objetos próximos a mi posición.",objetos_cercanos
Por dónde empezamos: descríbeme el lugar.,descripcion_escena
"Cuéntame cómo es la alfombra con detalle, no me importa que sea largo.",detalle_objeto
"Sin tener que avanzar ni nada, ¿qué objetos están en mi entorno inmediato?",objetos_cercanos
"Eh, escucha, ¿me guías hasta el reloj? Llevo dando vueltas sin llegar.",navegacion
Cómo voy a ese elemento.,navegacion
Dame instrucciones.,fuera_dominio
"Resúmeme lo que hay aquí, sin describir objeto por objeto.",descripcion_escena
¿Qué tipo de lugar es?,descripcion_escena
¿Qué día es hoy?,fuera_dominio
"Quiero saber qué pinta tiene la planta, descríbemelo.",detalle_objeto
Dime una receta sencilla para hacer paella.,fuera_dominio
"Me gustaría que me hicieras una descripción ambiental, sin entrar en detalle de cada objeto.",descripcion_escena
"Por favor, indícame el recorrido completo desde aquí hasta lo que hay enfrente, despacio si hace falta.",navegacion
Dame una descripción minuciosa de la caja.,detalle_objeto
Necesito ubicarme: descríbeme dónde estoy.,descripcion_escena
¿Qué se aprecia?,descripcion_escena
Localiza el reloj.,localizacion_objeto
Busca el espejo.,localizacion_objeto
Ubicación del barril.,localizacion_objeto
"Antes de seguir, ¿podrías hacerme una descripción detallada de eso de la izquierda? Me interesa especialmente su aspecto.",detalle_objeto
Indícame el camino para llegar a la roca.,navegacion
¿Voy bien?,fuera_dominio
"Si me dices paso a paso cómo llegar a la caja, lo intento.",navegacion
"Si pudieras orientarme un poco sobre cómo continuar, te lo agradecería mucho, porque ahora mismo estoy perdido.",fuera_dominio
Localiza el cofre.,localizacion_objeto
¿Cómo se ve el sitio en general? Cuéntamelo.,descripcion_escena
Cosas a mi alrededor.,objetos_cercanos
Algo cerca de mí?,objetos_cercanos
"Por favor, dame paso a paso las indicaciones para alcanzar el cuadro desde mi posición actual.",navegacion
"Por favor, indícame la ubicación de lo que tengo delante con precisión.",localizacion_objeto
"Por favor, dime cómo puedo guardar el progreso de mi sesión actual y volver a retomarla más tarde.",fuera_dominio
Resúmeme el entorno.,descripcion_escena
"Me gustaría que me hablaras de algún tema interesante de filosofía, lo que tú prefieras, para entretenerme un rato.",fuera_dominio
Dime qué hay cerca.,objetos_cercanos
"Háblame del decorado, del ambiente, de lo que se percibe.",descripcion_escena
Ir al reloj.,navegacion
"Si no te importa, dime qué objetos están próximos a mí, así puedo decidir con qué interactuar primero.",objetos_cercanos
Descríbeme el sitio.,descripcion_escena
"Necesito que me lleves al barril, por favor.",navegacion
Me gustaría conocer la posición exacta de la botella.,localizacion_objeto
"Por favor, enumérame las cosas cercanas a mí.",objetos_cercanos
