texto,categoria
¿Qué hay justo delante de mí?,objetos_cercanos
¿En qué dirección queda el objetivo?,localizacion_objeto
¿Cómo activo el micrófono?,consulta_general
¿Dónde se encuentra el NPC?,localizacion_objeto
Dime qué elementos tengo próximos,objetos_cercanos
¿Hay paredes cerca de mí?,objetos_cercanos
¿Cómo es la estantería en detalle?,detalle_objeto
Sigo sin entender,consulta_general
¿Qué objetos puedo tocar si extiendo la mano?,objetos_cercanos
¿Hay cosas cerca de las que tenga que preocuparme?,objetos_cercanos
¿Qué hay a mi espalda?,objetos_cercanos
Quiero entender dónde me encuentro,descripcion_escena
¿Está la escalera a mi derecha?,localizacion_objeto
Guíame hasta el botón de acción,navegacion
¿Puedes responder más rápido?,consulta_general
¿Puedes ser más claro?,consulta_general
¿Cómo es la decoración del lugar?,detalle_objeto
¿Qué puedo encontrar cerca de aquí?,objetos_cercanos
Guíame hacia la puerta principal,navegacion
¿Qué hay a mi derecha?,objetos_cercanos
Guíame hacia la zona de exploración,navegacion
¿Hay algo que brille cerca de mí?,objetos_cercanos
¿Puedes repetir la descripción?,consulta_general
¿El contenedor está lleno o vacío?,detalle_objeto
¿Por dónde voy para encontrar al NPC?,navegacion
¿Cómo llego a la plataforma?,navegacion
¿Hay algún número o código visible?,detalle_objeto
¿Dónde puedo encontrar el objeto clave?,localizacion_objeto
Guíame hacia el interruptor,navegacion
¿Qué opciones tengo disponibles?,consulta_general
Descríbeme el lugar,descripcion_escena
¿Dónde puedo encontrar una salida alternativa?,localizacion_objeto
¿Puedes hablar en otro idioma?,consulta_general
¿La puerta parece pesada o ligera?,detalle_objeto
¿Puedes guiarme en general?,consulta_general
¿Cómo es la arquitectura de este espacio?,descripcion_escena
¿La caja tiene algún símbolo?,detalle_objeto
¿Cuánto hay hasta la salida?,localizacion_objeto
Guíame para llegar al ascensor,navegacion
¿Dónde se encuentra el acceso principal?,localizacion_objeto
¿La palanca está a mi izquierda?,localizacion_objeto
¿Hay algún objeto luminoso cerca?,objetos_cercanos
No sé qué hacer,consulta_general
¿Hay algún peligro en los alrededores?,objetos_cercanos
¿Dónde puedo encontrar la llave roja?,localizacion_objeto
¿Me puedes dar una pista?,consulta_general
¿Hay algún NPC a mi alrededor?,objetos_cercanos
¿Hay fuentes de luz aquí?,descripcion_escena
¿La superficie donde está el objeto es plana?,detalle_objeto
Cuéntame cómo es este espacio,descripcion_escena
¿Estoy en un espacio amplio o reducido?,descripcion_escena
¿Dónde está el objeto mágico?,localizacion_objeto
¿Tengo objetos detrás de mí?,objetos_cercanos
¿Dónde estoy?,descripcion_escena
¿Para qué sirves?,consulta_general
¿Hay ventanas o puertas a mi alrededor?,objetos_cercanos
¿Está el cofre abierto cerca de mí?,localizacion_objeto
¿El portal emite alguna luz?,detalle_objeto
¿Qué objetos puedo ver sin girarme?,objetos_cercanos
Tengo una duda,consulta_general
¿Cómo es la profundidad de este espacio?,descripcion_escena
¿Me puedes describir el sitio donde estoy?,descripcion_escena
¿El objeto es metálico o de madera?,detalle_objeto
Quiero ir hasta la zona de recompensas,navegacion
¿Hay coleccionables cerca?,objetos_cercanos
¿Puedes ayudarme con algo?,consulta_general
¿La fuente de luz es brillante o tenue?,detalle_objeto
¿Cómo es la textura del objeto que describiste?,detalle_objeto
¿Todo está bien?,consulta_general
¿Qué tipo de lugar es este?,descripcion_escena
¿De qué color es el traje del enemigo?,detalle_objeto
¿De qué color es la ropa del NPC?,detalle_objeto
Quiero ir hasta la puerta de salida,navegacion
¿Qué tipo de construcción es esta?,descripcion_escena
Estoy perdido,consulta_general
¿Qué hay en las paredes?,descripcion_escena
¿De qué color es la puerta?,detalle_objeto
¿Qué hay justo a mi lado?,objetos_cercanos
Gracias por la ayuda,consulta_general
¿Qué es lo más cercano a mí?,objetos_cercanos
¿Cuáles son tus funciones?,consulta_general
¿Hay señales o indicaciones visibles?,descripcion_escena
¿Qué hay a mi izquierda?,objetos_cercanos
Quiero ir hacia la escalera más cercana,navegacion
¿Hay alguien ahí?,consulta_general
¿Hay ventanas en este lugar?,descripcion_escena
¿La estatua es alta o baja?,detalle_objeto
¿Hay algo relevante cerca de donde estoy parado?,objetos_cercanos
Dime todo lo que hay a mi alrededor,objetos_cercanos
Llévame a la salida,navegacion
Enumera los objetos cercanos,objetos_cercanos
Quiero ir al punto de extracción,navegacion
¿Puedes bajar el volumen?,consulta_general
Ayúdame,consulta_general
¿Cómo de alto es el techo?,detalle_objeto
¿Por dónde empiezo?,consulta_general
¿Qué me has contado hasta ahora?,consulta_general
¿El cofre tiene cerradura?,detalle_objeto
¿La rampa tiene algún pasamanos?,detalle_objeto
¿Es de día o de noche aquí?,descripcion_escena
¿Dónde se encuentra la caja?,localizacion_objeto
¿Qué me rodea en este instante?,objetos_cercanos
¿Qué muebles hay alrededor?,objetos_cercanos
¿Dónde está el objeto de mayor tamaño?,localizacion_objeto
¿Tienes alguna limitación?,consulta_general
Para un momento,consulta_general
¿Hay zonas de sombra o de luz intensa?,descripcion_escena
¿Cómo es la sala donde me encuentro?,descripcion_escena
¿Cómo es el paisaje a mi alrededor?,descripcion_escena
¿De qué color es el objeto brillante?,detalle_objeto
¿Hay alguna plataforma cerca?,objetos_cercanos
¿Cómo de gruesa es la puerta?,detalle_objeto
¿Puedes hablar de forma más sencilla?,consulta_general
¿Hay alguna misión que deba cumplir?,consulta_general
¿Me puedes ayudar?,consulta_general
¿Qué hay en esta zona?,descripcion_escena
¿Cómo es la textura de la pared?,detalle_objeto
¿El ordenador tiene pantalla encendida?,detalle_objeto
¿Cómo es la iluminación aquí?,descripcion_escena
¿Puedo interactuar con algo que esté cerca?,objetos_cercanos
¿Dónde está el objeto que mencionaste?,localizacion_objeto
¿Por dónde voy para encontrar el ítem?,navegacion
Localiza el siguiente elemento interactivo,localizacion_objeto
¿Qué puedes hacer tú?,consulta_general
¿Cómo llego a la habitación bloqueada?,navegacion
¿Qué hay frente a mí en este momento?,objetos_cercanos
¿Estoy en el interior o el exterior?,descripcion_escena
¿Cuál es tu función principal?,consulta_general
¿El cristal es transparente o traslúcido?,detalle_objeto
Quiero llegar al área de inicio,navegacion
¿Qué tipo de preguntas puedo hacerte?,consulta_general
¿Cómo funciona este sistema?,consulta_general
¿A qué distancia está el personaje principal?,localizacion_objeto
¿Cómo llego al punto de encuentro?,navegacion
¿Por dónde se sale de aquí?,navegacion
¿Qué personajes están cerca de mí?,objetos_cercanos
¿Cómo de grande es este espacio?,descripcion_escena
¿Está la ventana cerca de mí?,localizacion_objeto
¿Qué botones o controles tengo cerca?,objetos_cercanos
¿Dónde está el objeto brillante?,localizacion_objeto
Guíame hasta el punto más alejado,navegacion
Llévame al inicio de la misión,navegacion
¿Dónde está el pomo de la puerta?,localizacion_objeto
Necesito ayuda en general,consulta_general
¿Qué hay a nivel del suelo cerca de mí?,descripcion_escena
¿Cuántos pasos hay hasta el punto de inicio?,localizacion_objeto
Quiero pausar,consulta_general
Quiero llegar al punto marcado,navegacion
¿Cómo llego al final del pasillo?,navegacion
¿Cómo de ancho es el pasillo?,detalle_objeto
¿El objeto mágico brilla o no?,detalle_objeto
¿Cómo es el botón que tengo que pulsar?,detalle_objeto
Llévame al origen del mapa,navegacion
¿Dónde está la pantalla que vi antes?,localizacion_objeto
¿El lugar está desordenado o ordenado?,descripcion_escena
¿A qué distancia está el personaje?,localizacion_objeto
¿Qué hay aquí?,descripcion_escena
¿Por dónde voy para llegar al nivel siguiente?,navegacion
¿Puedes darme una descripción general?,consulta_general
¿Hay fuego o agua en los alrededores?,objetos_cercanos
Descríbeme lo que ves,descripcion_escena
¿Qué me topo si doy un paso adelante?,objetos_cercanos
¿Cuánto hay hasta el altar?,localizacion_objeto
¿Hay algún elemento destacable en el suelo?,descripcion_escena
